Sample,,,,,,,,,52  Cr  [ He ] ,,53  Cr  [ He ] ,,75  As  [ He ] ,,111  Cd  [ He ] ,,114  Cd  [ He ] ,,208  Pb  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,72  Ge ( ISTD )  [ He ] ,,209  Bi ( ISTD )  [ He ] ,
,Rjct,Data File,Sample Key,Acq. Date-Time,Type,Level,Vial Number,Total Dil.,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
,FALSE,001BLKV.d,0,11/22/19 18:20,BlkVrfy,,1101,1,1810.176667,3.226864517,217.89,5.286989787,465.3433333,5.885898727,0,N/A,6.666666667,27.87027987,683.3833333,11.25138787,78342.87,2.221467525,73923.95,2.060879454,2212422.433,2.488574471
,FALSE,002BLKV.d,0,11/22/19 18:24,BlkVrfy,,1102,1,1685.706667,3.680489116,187.5566667,13.0782655,332.8933333,3.750263018,0,N/A,6.553333333,20.58399573,315.5733333,6.189617908,79527.53667,2.159956266,73332.80667,0.967383681,2189749.327,3.175652489
,FALSE,003BLKV.d,0,11/22/19 18:28,BlkVrfy,,1101,1,1761.28,4.31797562,210.5566667,7.352081735,352.1133333,3.419094533,2.223333333,173.2050808,6.113333333,8.334933668,602.2666667,16.68231701,78913.50667,1.09138661,73083.65,0.580732914,2221601.703,1.111471685
,FALSE,004CALB.d,0,11/22/19 18:33,CalBlk,1,1102,1,1724.6,5.448670232,194.0033333,9.093396236,397.23,5.297126379,3.333333333,100.0500375,5.776666667,29.67481381,334.4633333,14.92756856,76616.16333,1.265028672,72713.74,1.087038914,2191023.507,0.444567587
,FALSE,005CALB.d,65,11/22/19 18:37,CalBlk,1,1101,1,1360.123333,40.6955997,144.7766667,40.54332265,398.23,17.67363546,2.223333333,173.2050808,6.223333333,43.23169129,598.9333333,8.427984982,69934.49333,27.57969508,80651.82,10.10572324,1718072.89,49.86050228
,FALSE,006CALS.d,66,11/22/19 18:40,CalStd,2,2101,1,8276.696667,3.899333739,965.3633333,2.590283178,1197.266667,1.656124423,2121.343333,5.27420762,5016.853333,1.448322925,2739.26,3.740424483,77447.34,4.607898654,73107.66,4.428566821,2176419.74,3.586102901
,FALSE,007CALS.d,67,11/22/19 18:44,CalStd,3,2102,1,14986.78,0.540580796,1795.54,0.682976681,1977.783333,1.373983511,4109.57,0.619676275,10353.99667,0.336309715,5115.52,3.337076014,77532.22333,0.46791826,73499.19667,0.364695033,2160807.573,0.640574425
,FALSE,008CALS.d,68,11/22/19 18:48,CalStd,4,2103,1,27333.75,1.441860364,3397.22,1.213436325,3445.233333,1.616617846,8275.716667,2.982682379,20266.14,0.776103863,9227.503333,3.25374029,78222.86667,2.63126004,73419.68667,0.815280993,2206867.17,2.88082309
,FALSE,009CALS.d,69,11/22/19 18:52,CalStd,5,2104,1,66167.33,0.933237127,8099.483333,1.390780833,8293.94,2.094664322,20114.70667,1.38814955,50782.44667,0.270164497,22911.83333,2.650687168,77469.49333,1.185987107,73560.36667,1.497278447,2171951.443,1.048017468
,FALSE,010CALS.d,70,11/22/19 18:56,CalStd,6,2105,1,130314.3733,0.217638529,16010.13667,0.657035956,16051.63333,0.414038704,40487.54333,2.322128462,100942.2667,0.161526846,44741.59667,0.418796444,79387.71,1.791270373,74142.58333,1.183540841,2275401.563,2.272321758
,FALSE,011CALS.d,71,11/22/19 19:01,CalStd,7,2106,1,271600.85,0.735431225,32970.49667,0.263350668,33081.66667,1.237436688,84403.63333,0.489939387,211300.8967,0.59357842,91275.59667,2.056944862,83765.94,3.330439013,77480.21333,2.120261271,2372616.353,4.495377093
,FALSE,012CALS.d,72,11/22/19 19:05,CalStd,8,2107,1,769458.7833,0.916866791,94682.34667,0.558925526,81955.48333,0.24732909,242595.4133,0.531105994,603658.86,0.546246286,231695.35,1.111095923,77992.83,6.711368664,74460.98333,4.923352305,2173564.71,6.901809226
,FALSE,013CALS.d,73,11/22/19 19:09,CalStd,9,2108,1,1345846.04,0.770636164,162711.44,0.14788271,162653.8767,0.566793871,417704.9233,0.579240806,1048247.23,0.223920475,454154.5267,0.523983758,78737.31667,4.09258295,74833.29667,2.952031361,2189012.677,2.9466235
,FALSE,014CALS.d,74,11/22/19 19:14,CalStd,10,2109,1,6806555.94,0.82050682,822569.0133,0.716010822,823117.5067,0.736189035,2105879.223,0.834553738,5410833.167,0.440708079,2358810.867,0.470866284,79553.53667,5.311394959,75367.61667,4.516138785,2247013.197,2.619935353
,FALSE,015CALS.d,75,11/22/19 19:18,CalStd,11,2110,1,13853686.32,0.218680813,1692230.18,0.248727993,1714247.61,0.740039579,4298394.763,0.482350572,10964142.44,0.217691405,4687901.91,0.258736912,76668.43,1.369203972,72802.9,1.043890085,2187266.617,1.092224888
,FALSE,016BLKV.d,0,11/22/19 19:23,BlkVrfy,,1101,1,2252.463333,12.18766809,280.3366667,3.191587983,818.2433333,3.164488238,145.5633333,38.34238283,346.45,22.18807375,1335.676667,9.802346898,77919.18,2.841304759,72395.28333,1.883065221,2214663.233,2.28283805
,FALSE,017BLKV.d,0,11/22/19 19:27,BlkVrfy,,1102,1,1750.17,0.686414557,211.4466667,3.403459406,624.9033333,7.283885846,23.33666667,37.80184718,87,12.03931223,758.95,21.26826074,75385.69333,0.655294182,71131.57667,0.849402357,2175310.037,0.412194006
,FALSE,018BLKV.d,0,11/22/19 19:31,BlkVrfy,,1101,1,1979.086667,7.646155022,245.5566667,4.617253208,500.6733333,3.822819195,54.44666667,9.350480193,150.5533333,6.777274606,793.39,10.655127,73931.82333,3.71801844,70513.97333,4.384332558,2115150.123,3.847134878
,FALSE,019BLKV.d,0,11/22/19 19:35,BlkVrfy,,1102,1,1851.29,3.603566154,218,5.963302752,537.9,5.02531872,22.22333333,48.21895439,65.22333333,6.306354286,497.8166667,3.019301602,75825.21333,2.379837417,70765.49667,0.575943108,2180407.817,2.033391583
,FALSE,020SMPL.d,NIST,11/22/19 19:39,Sample,,2401,1,47985.99,0.1272753,5917.65,1.584788661,18993.48667,1.131432757,4590.83,4.090905899,11548.86667,0.858355595,165250.8667,0.520994695,79541.73,1.364552665,73357.15333,0.751131104,2415965.657,1.247066996
,FALSE,021SMPL.d,6,11/22/19 19:43,Sample,,4101,1,141446.23,0.499807925,17273.84333,0.453935607,2456.96,2.292927791,244.4566667,7.752058186,851.0266667,2.218120096,400038.6167,1.14219472,81893.47667,0.782231799,71978.5,1.136056263,2202312.987,1.386632969
,FALSE,022SMPL.d,7,11/22/19 19:47,Sample,,4102,1,7664.203333,1.24209908,943.47,1.489197879,400.23,0.755591328,27.78,30.20248486,57.44666667,10.46615385,773.3933333,15.84287964,76514.48333,1.370226027,71536.7,0.283790666,2240318.42,0.66956365
,FALSE,023SMPL.d,8,11/22/19 19:51,Sample,,4103,1,64776.46667,1.640557069,7884.053333,0.318741022,1931.446667,1.751432262,174.4533333,34.466672,469.3433333,2.399613445,170482.8467,1.821879665,85492.29667,4.864175416,75450.58,3.694393505,2329972.533,3.825039816
,FALSE,024SMPL.d,9,11/22/19 19:56,Sample,,4104,1,7542.99,2.150435081,909.9166667,1.885159728,429.7833333,7.027989129,25.55666667,27.1676952,74.22333333,1.817404033,1430.14,2.627062717,77112.49333,0.772618153,71416.63667,1.449486039,2250662.467,2.609137085
,FALSE,025SMPL.d,10,11/22/19 20:00,Sample,,4105,1,21522.43667,1.436397369,2610.416667,0.807381375,921.25,0.116161756,81.11666667,48.15972933,203.4466667,2.136798016,40453.68667,1.373422486,78515.44333,1.905021136,72343.42667,2.985269744,2165696.233,1.058579865
,FALSE,026SMPL.d,11,11/22/19 20:04,Sample,,4106,1,8698.016667,0.569012915,1028.81,1.722537074,429.4533333,9.600515165,11.11333333,45.8198694,40.44333333,7.916026179,1101.203333,3.33459467,77045.44667,0.911095672,71584.36333,0.776805535,2218822.517,0.847540313
,FALSE,027SMPL.d,12,11/22/19 20:08,Sample,,4107,1,67044.87333,0.726160416,8160.4,0.631052243,2653.983333,2.392079954,164.4533333,14.38107111,480.34,4.518160972,180029.6833,0.562418571,81409.75667,1.249847733,72829.75,1.476392205,2184880.663,1.347885611
,FALSE,028SMPL.d,13,11/22/19 20:12,Sample,,4108,1,258217.0767,0.468842278,31445.05,0.282453213,7754.473333,1.48252322,3508.306667,2.389894031,9178.34,0.797327289,1841731.117,1.614917447,79662.36333,1.842993972,73376.34667,0.269418305,2215383.247,0.856192064
,FALSE,029SMPL.d,14,11/22/19 20:17,Sample,,4109,1,73978.62333,0.516427156,9107.623333,0.444717127,1613.523333,1.485255487,221.12,7.436564457,843.2466667,3.578915937,204840.89,0.783994841,80244.68333,0.568187314,73261.19333,2.253023241,2184288.91,0.816937339
,FALSE,030SMPL.d,15,11/22/19 20:21,Sample,,4110,1,260231.6833,1.326622111,31967.07333,0.533037618,7846.293333,0.796072405,3416.053333,3.639762593,9031.59,0.618552007,1870582.87,1.367406022,82502.58333,1.10962018,74096.07333,2.484316058,2276428.977,2.668929674
,FALSE,031SMPL.d,16,11/22/19 20:25,Sample,,4111,1,95623.05,1.063341582,11563.23667,0.508271775,3599.596667,0.16103246,204.4566667,6.589803872,610.68,3.498963933,247287.0033,0.993887864,87877.8,0.302222146,75073.21333,1.146331063,2266414.76,0.639743062
,FALSE,032SMPL.d,17,11/22/19 20:29,Sample,,4112,1,297266.72,1.439578804,36508.75,0.834995423,8928.353333,1.075809368,3958.423333,3.207612833,10088.51,0.779775819,2104811.253,0.95447947,80914.31667,0.95210269,74275.59667,0.998331396,2251708.227,0.927947611
,FALSE,033BLKV.d,0,11/22/19 20:34,BlkVrfy,,1102,1,1834.62,4.619867765,224.4466667,10.72271414,578.9033333,2.470246067,18.89,36.74725263,47.11,7.886934737,785.6133333,10.06308264,78097.66667,2.344161205,73226.81,2.186822189,2187511.497,2.354037713
,FALSE,034_QC1.d,Check10,11/22/19 20:38,QC1,,1104,1,142210.55,0.57583265,17332.44667,0.37233167,16479.57333,1.287285925,41790.62333,0.854274852,102052.6133,0.851126046,43902.60667,2.209386682,79168.91667,1.264306995,74832.12,2.028377141,2202964.967,0.907832427
,FALSE,035BLKV.d,0,11/22/19 20:42,BlkVrfy,,1102,1,1707.936667,8.499806069,221.67,0.781364554,323.2266667,4.03299215,13.33333333,114.5643924,29.77666667,13.36162714,351.1333333,5.722256012,79285.42333,3.356206819,73623.14333,1.143411204,2176331.843,3.33937078
,FALSE,036SMPL.d,18,11/22/19 20:46,Sample,,4201,1,77173.85333,2.030678013,9429.9,1.667787509,1933.556667,1.908726239,207.7866667,25.58619375,893.47,2.11935688,197118.0733,0.54317398,82015.73333,0.57492319,74465.79,1.025718956,2206968.127,1.459544916
,FALSE,037SMPL.d,19,11/22/19 20:50,Sample,,4202,1,215929.2067,0.542173911,26425.72667,0.128374668,6509.09,1.113304788,3733.913333,4.528777731,9471.376667,0.431513519,2017959.953,0.752375914,81909.91667,0.815335086,75722.3,2.11627471,2259630.813,1.893673864
,FALSE,038SMPL.d,20,11/22/19 20:55,Sample,,4203,1,8237.793333,3.202424631,1006.586667,3.243749255,493.5666667,1.363930061,20.00333333,28.86270301,56.33666667,12.84097652,1127.88,5.323331336,78585.58,0.561039217,73719.72667,0.971627249,2192036.877,0.923131581
,FALSE,039SMPL.d,21,11/22/19 20:59,Sample,,4204,1,42603.27667,1.182633897,5163.523333,1.119279728,1317.833333,2.715879128,228.9,25.48838789,548.23,2.968031843,467066.7767,0.937642722,84973.74333,1.446787133,75093.26333,1.354464028,2296320.157,2.352932545
,FALSE,040SMPL.d,22,11/22/19 21:03,Sample,,4205,1,136373.7533,1.603808568,16739.67667,0.847305115,3624.05,2.532908205,217.79,14.86697139,703.0166667,2.545185435,210067.17,1.249741007,84900.59667,5.174480713,74913.67333,3.762236947,2318864.41,3.63879158
,FALSE,041SMPL.d,23,11/22/19 21:07,Sample,,4206,1,228799.3033,0.535050493,27782.49667,0.720513593,6605.903333,0.136521821,2903.716667,4.421314954,7630.48,1.081184765,1504430.17,1.406858664,82911.42333,1.330242318,75283.01,0.835476973,2230413.37,1.778735125
,FALSE,042SMPL.d,24,11/22/19 21:12,Sample,,4207,1,276393.2033,1.322009269,33962.96667,0.48946285,3896.326667,1.759182719,344.4666667,11.17435914,1291.386667,1.62536603,515157.0467,1.059440913,87642.03667,1.090751421,75873.37667,1.611630231,2433104.287,1.878514155
,FALSE,043SMPL.d,25,11/22/19 21:16,Sample,,4208,1,10702.54333,2.772303557,1347.166667,1.869649222,381.7866667,5.000047929,95.56,13.21090993,283.7833333,0.444284943,12095.12,2.578567633,80676.93333,1.093409914,76473.79,1.740500525,2245949.17,0.764595588
,FALSE,044SMPL.d,26,11/22/19 21:20,Sample,,4209,1,153415.3133,0.802556243,18814.13333,0.624696903,1904.776667,1.671567781,263.35,4.562822571,807.1333333,0.470125539,419717.7767,0.709355505,87501.12,0.883496954,76664.44333,0.677003242,2263785.33,0.430739048
,FALSE,045SMPL.d,27,11/22/19 21:25,Sample,,4210,1,313794.36,0.286811905,38229.11333,0.290603253,9168.59,0.757354761,4157.373333,3.713291407,10393.24,0.236516847,2259778.737,1.072128301,83625.67,0.350472706,77025.12333,1.557665761,2252941.477,1.502333339
,FALSE,046SMPL.d,38,11/22/19 21:29,Sample,,4211,1,188859.1033,0.500884579,22966.85333,0.896912469,1954.003333,2.48639971,305.5733333,13.19804518,738.1333333,2.111482815,486611.56,0.61741545,87416.20333,1.016229313,76072.09333,1.156583589,2314931.717,1.642757
,FALSE,047SMPL.d,39,11/22/19 21:34,Sample,,4212,1,236163.0067,0.592126021,28903.45,0.372097117,7095.423333,1.942674297,3091.53,2.696806165,7986.636667,1.419217228,1616627.773,1.086231783,83565.02,0.780604871,77991.05667,0.750146436,2239446.163,0.713195127
,FALSE,048BLKV.d,0,11/22/19 21:38,BlkVrfy,,1102,1,1795.73,3.983537238,226.56,4.644324388,447.12,3.639211168,6.666666667,132.325366,35.22,11.82876006,534.48,5.658849009,82610.95667,0.662052414,76712.3,0.207238677,2246747.017,0.2440538
,FALSE,049_QC1.d,Check10,11/22/19 21:42,QC1,,1104,1,146833.6967,1.108402851,17878.41333,0.662628464,17060.00667,0.875936783,41772.7,0.384383078,103485.7233,0.629137306,44786.17667,2.484225127,81652.39667,0.894216753,76335.09333,0.903981532,2209918.003,0.393155902
,FALSE,050BLKV.d,0,11/22/19 21:46,BlkVrfy,,1102,1,2066.89,3.073359664,233.2266667,10.57290886,530.3433333,5.533603873,18.89,20.35549387,53.55666667,21.56400529,481.1433333,9.608151286,82637.91,2.239066629,75873.55,0.922332027,2210282.867,1.150717391
,FALSE,051SMPL.d,40,11/22/19 21:50,Sample,,4301,1,70734.55,1.358336453,8596.043333,0.694233749,1932.78,2.47969153,182.23,14.67332885,864.58,0.862478391,228665.2367,1.755028396,83409.38,2.788089954,74938.37,2.379139105,2219598.403,1.74945527
,FALSE,052SMPL.d,41,11/22/19 21:54,Sample,,4302,1,98325.19333,0.690782066,12067.00667,0.598699897,2883.463333,1.307374103,276.6833333,11.49204595,1630.53,1.466621478,1465302.41,1.824309308,88182.62667,1.29614608,77438.72333,0.63866157,2265115.073,1.697931021
,FALSE,053SMPL.d,42,11/22/19 21:59,Sample,,4303,1,8278.94,2.131937793,985.03,4.082049338,554.3433333,5.121279951,15.55666667,61.86691014,52.77666667,14.90017935,1000.083333,9.404900196,82415.57333,0.435652608,74873.20333,0.778358034,2225830.87,0.593200331
,FALSE,054SMPL.d,43,11/22/19 22:03,Sample,,4304,1,7977.67,2.202994535,992.03,3.127016615,484.0066667,2.245792484,23.33666667,37.80184718,75.66666667,17.50251976,2450.31,2.384069187,82911.6,4.856436102,76958.01,2.030444077,2296943.007,2.460467569
,FALSE,055SMPL.d,44,11/22/19 22:07,Sample,,4305,1,327104.4567,0.658569801,40083.94333,0.253127225,9495.65,0.913182492,4124.013333,2.971786864,10909.22667,1.151280961,2200119.883,0.086793721,84973.91,3.50341997,77026.03,1.227122481,2278053.683,2.887544618
,FALSE,056SMPL.d,45,11/22/19 22:12,Sample,,4306,1,99635.46667,0.182328931,12238.01,0.399163494,2469.846667,0.961828983,338.9133333,34.13512885,1276.163333,1.570171646,420708.57,0.881400109,86215.21333,1.224644954,76526.04333,0.378112254,2216976.6,0.856841621
,FALSE,057SMPL.d,46,11/22/19 22:16,Sample,,4307,1,136224.34,0.851755618,16858.01667,0.625454053,1878.44,2.592776636,226.6833333,15.49246931,958.1433333,3.132081033,552082.1033,0.566273646,87265.47,0.688788493,76731.41333,1.170931072,2266748.733,0.577735098
,FALSE,058SMPL.d,47,11/22/19 22:20,Sample,,4308,1,343554.28,0.349037345,41921.72333,0.946745846,9730.993333,0.267130014,4347.413333,2.212561076,11179.06667,0.450966801,2314487.38,0.695583767,87352.81667,1.285151403,79057.24667,0.431167532,2274128.163,0.65100855
,FALSE,059SMPL.d,48,11/22/19 22:25,Sample,,4309,1,173606.9233,0.583450993,21310.52,0.160079193,1766.426667,2.614200853,207.7866667,6.074569059,882.2466667,2.937611073,422038.81,0.909214696,86755.63333,3.594036447,77471.19667,1.193473212,2256350.923,2.517817472
,FALSE,060SMPL.d,49,11/22/19 22:29,Sample,,4310,1,8469.016667,3.000115283,1056.59,2.019568517,405.6733333,3.207707564,11.11,91.65740795,59.11,8.483334424,1217.89,8.640539494,84561.37333,3.559075789,77227.95667,3.017882996,2298464.097,2.260976996
,FALSE,061SMPL.d,50,11/22/19 22:34,Sample,,4311,1,8334.543333,0.748831548,1021.366667,1.498771255,394.7833333,3.555100257,10,33.3,28.66666667,8.388235407,905.6266667,6.05214508,78315.29333,7.69571742,73518.37,6.745606156,2151114.12,8.359435156
,FALSE,062SMPL.d,51,11/22/19 22:38,Sample,,4312,1,60343.84333,1.17764154,7410.86,0.039175707,2457.29,2.833737813,205.5666667,14.71336974,2054.463333,2.049520036,358599.3967,0.723616248,85981.85,1.466820278,76563.60667,0.484436096,2255726.233,3.169385595
