Sample Key,Type,Site,Analyst,Mass of Soil,Total Volume,Concentration
1,CalStd,,,,,0.1
2,CalStd,,,,,1
3,CalStd,,,,,2
4,CalStd,,,,,5
5,CalStd,,,,,10
6,Sample,C,MRMJ,1.5009,45,
7,Sample,MB,MRMJ,0,45,
8,Sample,E,ARG,1.5423,50,
9,Sample,MB,ARG,0,50,
10,Sample,F,CYT,1.4935,46,
11,Sample,MB,CYT,0,46,
12,Sample,F,DJHR,1.516,43,
13,Sample,QC,DJHR,1.4923,43,
14,Sample,D,CAG,1.50621,50,
15,Sample,QC,CAG,1.48989,50,
16,Sample,F,JHV,1.5063,45,
17,Sample,QC,JHV,1.5236,45,
18,Sample,D,SJB,1.55,45,
19,Sample,QC,SJB,1.53,45,
20,Sample,MB,MD,0,50,
21,Sample,D,MD,1.5756,50,
22,Sample,E,SEP,1.6,44,
23,Sample,QC,SEP,1.0136,42.5,
24,Sample,C,SGB,1.5074,44,
25,Sample,MB,SGB,0,44.5,
26,Sample,C,AWB,1.5115,42.5,
27,Sample,QC,AWB,1.5794,43.5,
28,CalStd2,,,,,0.1
29,CalStd2,,,,,1
30,CalStd2,,,,,2
31,CalStd2,,,,,5
32,CalStd2,,,,,10
33,CalStd3,,,,,0.1
34,CalStd3,,,,,1
35,CalStd3,,,,,2
36,CalStd3,,,,,5
37,CalStd3,,,,,10
38,Sample,C,GB,1.5127,50,
39,Sample,QC,GB,1.5554,45,
40,Sample,B,AB,1.5378,50,
41,Sample,B,LF,1.4587,45,
42,Sample,MB,LF,0,45,
43,Sample,MB,AB,0,45,
44,Sample,QC,KAD,1.5598,50,
45,Sample,B,KAD,1.54,45,
46,Sample,A,LML,1.57641,43,
47,Sample,QC,LML,1.54717,43,
48,Sample,A,AH,1.5,43.7,
49,Sample,MB,AH,0,45,
50,Sample,MB,LG,0,45.2,
51,Sample,C,LG,1.5038,45,
52,Sample,B,MF,1.4581,18,
53,Sample,QC,MF,1.5916,22,
54,Sample,A,LAK,1.5235,40,
55,Sample,MB,LAK,0,45,
56,Sample,A,AVM,1.5375,47,
57,Sample,QC,AVM,1.5167,45,
58,Sample,B,SS,1.5363,42.5,
59,Sample,QC,SS,1.5578,42.8,
60,CalStd4,,,,,0.1
61,CalStd4,,,,,1
62,CalStd4,,,,,2
63,CalStd4,,,,,5
64,CalStd4,,,,,10
65,Cal1,,,,,0
66,Cal1,,,,,0.5
67,Cal1,,,,,1
68,Cal1,,,,,2
69,Cal1,,,,,5
70,Cal1,,,,,10
71,Cal1,,,,,20
72,Cal1,,,,,50
73,Cal1,,,,,100
74,Cal1,,,,,500
75,Cal1,,,,,1000
76,Cal2,,,,,0
77,Cal2,,,,,0.5
78,Cal2,,,,,1
79,Cal2,,,,,2
80,Cal2,,,,,5
81,Cal2,,,,,10
82,Cal2,,,,,20
83,Cal2,,,,,50
84,Cal2,,,,,100
85,Cal2,,,,,500
86,Cal2,,,,,1000
87,Cal3,,,,,0
88,Cal3,,,,,0.5
89,Cal3,,,,,1
90,Cal3,,,,,2
91,Cal3,,,,,5
92,Cal3,,,,,10
93,Cal3,,,,,20
94,Cal3,,,,,50
95,Cal3,,,,,100
96,Cal3,,,,,500
97,Cal3,,,,,1000